Date,Visitor,G,Home,G
2021-01-13,St. Louis Blues,4,Colorado Avalanche,1
2021-01-13,Vancouver Canucks,5,Edmonton Oilers,3
2021-01-13,Pittsburgh Penguins,3,Philadelphia Flyers,6
2021-01-13,Chicago Blackhawks,1,Tampa Bay Lightning,5
2021-01-13,Montreal Canadiens,4,Toronto Maple Leafs,5
2021-01-14,San Jose Sharks,4,Arizona Coyotes,3
2021-01-14,Washington Capitals,6,Buffalo Sabres,4
2021-01-14,Carolina Hurricanes,3,Detroit Red Wings,0
2021-01-14,Vancouver Canucks,2,Edmonton Oilers,5
2021-01-14,Minnesota Wild,4,Los Angeles Kings,3
2021-01-14,Boston Bruins,3,New Jersey Devils,2
2021-01-14,Columbus Blue Jackets,1,Nashville Predators,3
2021-01-14,New York Islanders,4,New York Rangers,0
2021-01-14,Anaheim Ducks,2,Vegas Golden Knights,5
2021-01-14,Calgary Flames,3,Winnipeg Jets,4
2021-01-15,Washington Capitals,2,Buffalo Sabres,1
2021-01-15,St. Louis Blues,0,Colorado Avalanche,8
2021-01-15,Toronto Maple Leafs,3,Ottawa Senators,5
2021-01-15,Pittsburgh Penguins,2,Philadelphia Flyers,5
2021-01-15,Chicago Blackhawks,2,Tampa Bay Lightning,5
2021-01-16,San Jose Sharks,3,Arizona Coyotes,5
2021-01-16,Vancouver Canucks,0,Calgary Flames,3
2021-01-16,Carolina Hurricanes,2,Detroit Red Wings,4
2021-01-16,Montreal Canadiens,5,Edmonton Oilers,1
2021-01-16,Minnesota Wild,4,Los Angeles Kings,3
2021-01-16,Boston Bruins,1,New Jersey Devils,2
2021-01-16,Columbus Blue Jackets,2,Nashville Predators,5
2021-01-16,New York Islanders,0,New York Rangers,5
2021-01-16,Toronto Maple Leafs,3,Ottawa Senators,2
2021-01-16,Anaheim Ducks,1,Vegas Golden Knights,2
2021-01-17,Chicago Blackhawks,2,Florida Panthers,5
2021-01-17,Washington Capitals,3,Pittsburgh Penguins,4
2021-01-18,Minnesota Wild,0,Anaheim Ducks,1
2021-01-18,Vancouver Canucks,2,Calgary Flames,5
2021-01-18,Columbus Blue Jackets,3,Detroit Red Wings,2
2021-01-18,Montreal Canadiens,3,Edmonton Oilers,1
2021-01-18,Carolina Hurricanes,4,Nashville Predators,2
2021-01-18,Boston Bruins,0,New York Islanders,1
2021-01-18,Buffalo Sabres,6,Philadelphia Flyers,1
2021-01-18,San Jose Sharks,4,St. Louis Blues,5
2021-01-18,Winnipeg Jets,1,Toronto Maple Leafs,3
2021-01-18,Arizona Coyotes,2,Vegas Golden Knights,4
2021-01-19,Columbus Blue Jackets,2,Detroit Red Wings,3
2021-01-19,Chicago Blackhawks,4,Florida Panthers,5
2021-01-19,Colorado Avalanche,3,Los Angeles Kings,2
2021-01-19,New Jersey Devils,4,New York Rangers,3
2021-01-19,Winnipeg Jets,4,Ottawa Senators,3
2021-01-19,Buffalo Sabres,0,Philadelphia Flyers,3
2021-01-19,Washington Capitals,4,Pittsburgh Penguins,5
2021-01-20,Minnesota Wild,3,Anaheim Ducks,2
2021-01-20,San Jose Sharks,2,St. Louis Blues,1
2021-01-20,Edmonton Oilers,3,Toronto Maple Leafs,1
2021-01-20,Montreal Canadiens,5,Vancouver Canucks,6
2021-01-20,Arizona Coyotes,2,Vegas Golden Knights,5
2021-01-21,Philadelphia Flyers,4,Boston Bruins,5
2021-01-21,Tampa Bay Lightning,3,Columbus Blue Jackets,2
2021-01-21,Colorado Avalanche,2,Los Angeles Kings,4
2021-01-21,New Jersey Devils,1,New York Islanders,4
2021-01-21,Winnipeg Jets,4,Ottawa Senators,1
2021-01-21,Montreal Canadiens,7,Vancouver Canucks,3
2021-01-22,Colorado Avalanche,3,Anaheim Ducks,2
2021-01-22,Vegas Golden Knights,2,Arizona Coyotes,5
2021-01-22,Detroit Red Wings,1,Chicago Blackhawks,4
2021-01-22,Nashville Predators,0,Dallas Stars,7
2021-01-22,San Jose Sharks,1,Minnesota Wild,4
2021-01-22,New York Rangers,3,Pittsburgh Penguins,4
2021-01-22,Edmonton Oilers,2,Toronto Maple Leafs,4
2021-01-22,Buffalo Sabres,3,Washington Capitals,4
