Team,Date of Injury
Anaheim Ducks,Fri Jan 8 2021
Anaheim Ducks,Wed Jan 20 2021
Arizona Coyotes,Sat Jan 16 2021
Arizona Coyotes,Wed Jan 20 2021
Boston Bruins,Sat Jan 16 2021
Boston Bruins,Wed Jan 13 2021
Boston Bruins,Tue Oct 13 2020
Buffalo Sabres,Wed Jan 6 2021
Buffalo Sabres,Tue Jan 19 2021
Calgary Flames,Wed Jan 20 2021
Carolina Hurricanes,Sat Jan 16 2021
Chicago Blackhawks,Thu Dec 24 2020
Chicago Blackhawks,Wed Dec 23 2020
Chicago Blackhawks,Thu Jan 14 2021
Chicago Blackhawks,Tue Dec 29 2020
Colorado Avalanche,Tue Jan 19 2021
Colorado Avalanche,Tue Jan 19 2021
Colorado Avalanche,Wed Jan 13 2021
Columbus Blue Jackets,Tue Oct 1 2019
Columbus Blue Jackets,Mon Jan 11 2021
Dallas Stars,Mon Jan 4 2021
Dallas Stars,Wed Jan 20 2021
Dallas Stars,Mon Jan 4 2021
Dallas Stars,Mon Jan 4 2021
Detroit Red Wings,Wed Jan 13 2021
Detroit Red Wings,Thu Jan 21 2021
Detroit Red Wings,Wed Jan 13 2021
Edmonton Oilers,Mon Dec 21 2020
Florida Panthers,Wed Jan 13 2021
Minnesota Wild,Sun Jan 10 2021
Minnesota Wild,Wed Jan 13 2021
Minnesota Wild,Fri Dec 4 2020
Nashville Predators,Fri Jan 22 2021
Nashville Predators,Wed Jan 13 2021
New Jersey Devils,Tue Dec 29 2020
New York Islanders,Wed Jan 13 2021
New York Rangers,Wed Jan 13 2021
Ottawa Senators,Tue Jan 19 2021
Philadelphia Flyers,Fri Jan 15 2021
Philadelphia Flyers,Thu Jan 21 2021
Philadelphia Flyers,Thu Jan 21 2021
Pittsburgh Penguins,Mon Aug 17 2020
Pittsburgh Penguins,Wed Jan 13 2021
Pittsburgh Penguins,Sun Jan 17 2021
San Jose Sharks,Wed Jan 13 2021
St. Louis Blues,Fri Jan 15 2021
St. Louis Blues,Wed Jan 20 2021
St. Louis Blues,Mon Aug 17 2020
Tampa Bay Lightning,Wed Dec 23 2020
Toronto Maple Leafs,Fri Jan 22 2021
Toronto Maple Leafs,Fri Jan 22 2021
Vancouver Canucks,Wed Jan 13 2021
Vancouver Canucks,Thu Jan 21 2021
Washington Capitals,Tue Oct 6 2020
Washington Capitals,Wed Jan 20 2021
Washington Capitals,Wed Jan 20 2021
Washington Capitals,Wed Jan 20 2021
Washington Capitals,Wed Jan 20 2021
Washington Capitals,Fri Jan 22 2021
Winnipeg Jets,Tue Jan 19 2021
Winnipeg Jets,Wed Nov 6 2019
Winnipeg Jets,Thu Jan 21 2021
Winnipeg Jets,Wed Jan 13 2021
